Rk,Year,Conf,Overall_W,Overall_L,Overall_T,Overall_Pct,Conference_W,Conference_L,Conference_T,Conference_Pct,SRS_SRS,SRS_SOS,Polls_AP Pre,Polls_AP High,Polls_AP Post,Polls_CFP High,Polls_CFP Final,Coach(es),Bowl,Notes,school_key,school_url,extracted_at
1,2025,MWC,4,8,0,0.333,3.0,5.0,0.0,0.375,-6.42,-4.26,,,,,,Troy Calhoun (4-8),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
2,2024,MWC,5,7,0,0.417,3.0,4.0,0.0,0.429,-8.76,-5.01,,,,,,Troy Calhoun (5-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
3,2023,MWC,9,4,0,0.692,5.0,3.0,0.0,0.625,3.25,-4.14,,17.0,,25.0,,Troy Calhoun (9-4),Armed Forces Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
4,2022,MWC,10,3,0,0.769,5.0,3.0,0.0,0.625,4.13,-7.41,,,,,,Troy Calhoun (10-3),Armed Forces Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
5,2021,MWC,10,3,0,0.769,6.0,2.0,0.0,0.75,8.7,-1.84,,,,,,Troy Calhoun (10-3),First Responder Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
6,2020,MWC,3,3,0,0.5,2.0,2.0,0.0,0.5,0.85,-4.99,,,,,,Troy Calhoun (3-3),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
7,2019,MWC,11,2,0,0.846,7.0,1.0,0.0,0.875,10.47,-2.22,,22.0,22.0,,,Troy Calhoun (11-2),Cheez-It Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
8,2018,MWC,5,7,0,0.417,3.0,5.0,0.0,0.375,-1.72,-3.8,,,,,,Troy Calhoun (5-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
9,2017,MWC,5,7,0,0.417,4.0,4.0,0.0,0.5,-4.77,-1.02,,,,,,Troy Calhoun (5-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
10,2016,MWC,10,3,0,0.769,5.0,3.0,0.0,0.625,4.09,-4.53,,,,,,Troy Calhoun (10-3),Arizona Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
11,2015,MWC,8,6,0,0.571,6.0,2.0,0.0,0.75,0.36,-3.14,,,,,,Troy Calhoun (8-6),Armed Forces Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
12,2014,MWC,10,3,0,0.769,5.0,3.0,0.0,0.625,2.2,-4.88,,,,,,Troy Calhoun (10-3),Famous Idaho Potato Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
13,2013,MWC,2,10,0,0.167,0.0,8.0,0.0,0.0,-14.88,-3.22,,,,,,Troy Calhoun (2-10),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
14,2012,MWC,6,7,0,0.462,5.0,3.0,0.0,0.625,-7.35,-6.35,,,,,,Troy Calhoun (6-7),Armed Forces Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
15,2011,MWC,7,6,0,0.538,3.0,4.0,0.0,0.429,-0.38,-4.23,,,,,,Troy Calhoun (7-6),Military Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
16,2010,MWC,9,4,0,0.692,5.0,3.0,0.0,0.625,6.87,-1.05,,23.0,,,,Troy Calhoun (9-4),Independence Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
17,2009,MWC,8,5,0,0.615,5.0,3.0,0.0,0.625,6.57,-2.28,,,,,,Troy Calhoun (8-5),Armed Forces Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
18,2008,MWC,8,5,0,0.615,5.0,3.0,0.0,0.625,2.55,-2.53,,,,,,Troy Calhoun (8-5),Armed Forces Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
19,2007,MWC,9,4,0,0.692,6.0,2.0,0.0,0.75,5.36,-2.33,,,,,,Troy Calhoun (9-4),Armed Forces Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
20,2006,MWC,4,8,0,0.333,3.0,5.0,0.0,0.375,-2.94,0.81,,,,,,Fisher DeBerry (4-8),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
21,2005,MWC,4,7,0,0.364,3.0,5.0,0.0,0.375,-4.38,-1.65,,,,,,Fisher DeBerry (4-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
22,2004,MWC,5,6,0,0.455,3.0,4.0,0.0,0.429,0.52,1.16,,,,,,Fisher DeBerry (5-6),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
23,2003,MWC,7,5,0,0.583,3.0,4.0,0.0,0.429,1.14,-2.94,,,,,,Fisher DeBerry (7-5),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
24,2002,MWC,8,5,0,0.615,4.0,3.0,0.0,0.571,2.96,-3.27,,18.0,,,,Fisher DeBerry (8-5),San Francisco Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
25,2001,MWC,6,6,0,0.5,3.0,4.0,0.0,0.429,-6.3,-3.22,,,,,,Fisher DeBerry (6-6),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
26,2000,MWC,9,3,0,0.75,5.0,2.0,0.0,0.714,2.84,-4.33,,,,,,Fisher DeBerry (9-3),Silicon Valley Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
27,1999,MWC,6,5,0,0.545,2.0,5.0,0.0,0.286,2.35,-1.56,,24.0,,,,Fisher DeBerry (6-5),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
28,1998,WAC,12,1,0,0.923,7.0,1.0,0.0,0.875,12.59,-3.25,,13.0,13.0,,,Fisher DeBerry (12-1),Oahu Classic (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
29,1997,WAC,10,3,0,0.769,6.0,2.0,0.0,0.75,2.85,-4.38,,18.0,,,,Fisher DeBerry (10-3),Las Vegas Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
30,1996,WAC,6,5,0,0.545,5.0,3.0,0.0,0.625,5.24,-0.76,,,,,,Fisher DeBerry (6-5),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
31,1995,WAC,8,5,0,0.615,6.0,2.0,0.0,0.75,4.21,0.74,,21.0,,,,Fisher DeBerry (8-5),Copper Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
32,1994,WAC,8,4,0,0.667,6.0,2.0,0.0,0.75,5.34,-0.08,,,,,,Fisher DeBerry (8-4),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
33,1993,WAC,4,8,0,0.333,1.0,7.0,0.0,0.125,-7.94,-5.94,,,,,,Fisher DeBerry (4-8),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
34,1992,WAC,7,5,0,0.583,4.0,4.0,0.0,0.5,-2.03,-2.28,,,,,,Fisher DeBerry (7-5),Liberty Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
35,1991,WAC,10,3,0,0.769,6.0,2.0,0.0,0.75,4.73,-3.89,,25.0,25.0,,,Fisher DeBerry (10-3),Liberty Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
36,1990,WAC,7,5,0,0.583,3.0,4.0,0.0,0.429,0.78,-0.22,,,,,,Fisher DeBerry (7-5),Liberty Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
37,1989,WAC,8,4,1,0.654,5.0,1.0,1.0,0.786,7.2,-0.41,,17.0,,,,Fisher DeBerry (8-4-1),Liberty Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
38,1988,WAC,5,7,0,0.417,3.0,5.0,0.0,0.375,-0.53,0.39,,,,,,Fisher DeBerry (5-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
39,1987,WAC,9,4,0,0.692,6.0,2.0,0.0,0.75,4.91,-2.25,,,,,,Fisher DeBerry (9-4),Freedom Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
40,1986,WAC,6,5,0,0.545,5.0,2.0,0.0,0.714,-0.88,-1.7,,,,,,Fisher DeBerry (6-5),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
41,1985,WAC,12,1,0,0.923,7.0,1.0,0.0,0.875,16.36,0.13,,4.0,8.0,,,Fisher DeBerry (12-1),Bluebonnet Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
42,1984,WAC,8,4,0,0.667,4.0,3.0,0.0,0.571,8.58,-0.09,,,,,,Fisher DeBerry (8-4),Independence Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
43,1983,WAC,10,2,0,0.833,5.0,2.0,0.0,0.714,8.43,-2.99,,13.0,13.0,,,Ken Hatfield (10-2),Independence Bowl (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
44,1982,WAC,8,5,0,0.615,4.0,3.0,0.0,0.571,3.32,1.17,,,,,,Ken Hatfield (8-5),Hall of Fame Classic (W),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
45,1981,WAC,4,7,0,0.364,2.0,3.0,0.0,0.4,-6.02,0.89,,,,,,Ken Hatfield (4-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
46,1980,WAC,2,9,1,0.208,1.0,3.0,0.0,0.25,-7.01,2.49,,,,,,Ken Hatfield (2-9-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
47,1979,Ind,2,9,0,0.182,,,,,-10.27,-0.45,,,,,,Ken Hatfield (2-9),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
48,1978,Ind,3,8,0,0.273,,,,,-14.03,-4.21,,,,,,Bill Parcells (3-8),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
49,1977,Ind,2,8,1,0.227,,,,,-6.24,6.85,,,,,,Ben Martin (2-8-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
50,1976,Ind,4,7,0,0.364,,,,,-7.15,-0.06,,,,,,Ben Martin (4-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
51,1975,Ind,2,8,1,0.227,,,,,-2.93,5.53,,,,,,Ben Martin (2-8-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
52,1974,Ind,2,9,0,0.182,,,,,-7.01,-1.65,,,,,,Ben Martin (2-9),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
53,1973,Ind,6,4,0,0.6,,,,,3.88,3.38,,,,,,Ben Martin (6-4),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
54,1972,Ind,6,4,0,0.6,,,,,3.66,-2.24,,16.0,,,,Ben Martin (6-4),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
55,1971,Ind,6,4,0,0.6,,,,,5.5,4.3,,18.0,,,,Ben Martin (6-4),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
56,1970,Ind,9,3,0,0.75,,,,,15.2,5.03,,7.0,16.0,,,Ben Martin (9-3),Sugar Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
57,1969,Ind,6,4,0,0.6,,,,,12.13,6.23,,19.0,,,,Ben Martin (6-4),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
58,1968,Ind,7,3,0,0.7,,,,,7.17,-1.03,,,,,,Ben Martin (7-3),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
59,1967,Ind,2,6,2,0.3,,,,,-4.33,3.47,,,,,,Ben Martin (2-6-2),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
60,1966,Ind,4,6,0,0.4,,,,,-0.33,3.77,,,,,,Ben Martin (4-6),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
61,1965,Ind,3,6,1,0.35,,,,,1.44,2.94,,,,,,Ben Martin (3-6-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
62,1964,Ind,4,5,1,0.45,,,,,5.6,9.0,,,,,,Ben Martin (4-5-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
63,1963,Ind,7,4,0,0.636,,,,,8.97,2.88,,,,,,Ben Martin (7-4),Gator Bowl (L),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
64,1962,Ind,5,5,0,0.5,,,,,0.45,0.95,,,,,,Ben Martin (5-5),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
65,1961,Ind,3,7,0,0.3,,,,,-9.71,-1.41,,,,,,Ben Martin (3-7),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
66,1960,Ind,4,6,0,0.4,,,,,0.1,2.8,,,,,,Ben Martin (4-6),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
67,1959,Ind,5,4,1,0.55,,,,,3.06,0.06,15.0,15.0,,,,Ben Martin (5-4-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
68,1958,Ind,9,0,2,0.909,,,,,14.31,2.4,,6.0,6.0,,,Ben Martin (9-0-2),Cotton Bowl (T),,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
69,1957,Ind,3,6,1,0.35,,,,,-11.67,-7.17,,,,,,Buck Shaw (3-6-1),,,air-force,https://www.sports-reference.com/cfb/schools/air-force/,2026-01-02T12:33:20
1,2025,MAC,5,7,0,0.417,4.0,4.0,0.0,0.5,-12.55,-10.13,,,,,,Joe Moorhead (5-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
2,2024,MAC,4,8,0,0.333,3.0,5.0,0.0,0.375,-7.23,0.02,,,,,,Joe Moorhead (4-8),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
3,2023,MAC,2,10,0,0.167,1.0,7.0,0.0,0.125,-18.64,-8.39,,,,,,Joe Moorhead (2-10),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
4,2022,MAC,2,10,0,0.167,1.0,7.0,0.0,0.125,-13.49,-5.16,,,,,,Joe Moorhead (2-10),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
5,2021,MAC,2,10,0,0.167,1.0,7.0,0.0,0.125,-16.82,-4.41,,,,,,"Tom Arth (2-7), Oscar Rodriguez (0-3)",,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
6,2020,MAC,1,5,0,0.167,1.0,5.0,0.0,0.167,-8.82,5.52,,,,,,Tom Arth (1-5),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
7,2019,MAC,0,12,0,0.0,0.0,8.0,0.0,0.0,-26.64,-7.06,,,,,,Tom Arth (0-12),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
8,2018,MAC,4,8,0,0.333,2.0,6.0,0.0,0.25,-11.66,-3.33,,,,,,Terry Bowden (4-8),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
9,2017,MAC,7,7,0,0.5,6.0,2.0,0.0,0.75,-4.82,-1.96,,,,,,Terry Bowden (7-7),Boca Raton Bowl (L),,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
10,2016,MAC,5,7,0,0.417,3.0,5.0,0.0,0.375,-6.52,-3.93,,,,,,Terry Bowden (5-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
11,2015,MAC,8,5,0,0.615,5.0,3.0,0.0,0.625,-0.37,-4.44,,,,,,Terry Bowden (8-5),Famous Idaho Potato Bowl (W),,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
12,2014,MAC,5,7,0,0.417,3.0,5.0,0.0,0.375,-9.23,-7.73,,,,,,Terry Bowden (5-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
13,2013,MAC,5,7,0,0.417,4.0,4.0,0.0,0.5,-9.86,-4.28,,,,,,Terry Bowden (5-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
14,2012,MAC,1,11,0,0.083,0.0,8.0,0.0,0.0,-15.31,-4.31,,,,,,Terry Bowden (1-11),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
15,2011,MAC,1,11,0,0.083,0.0,8.0,0.0,0.0,-19.11,-3.52,,,,,,Rob Ianello (1-11),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
16,2010,MAC,1,11,0,0.083,1.0,7.0,0.0,0.125,-21.54,-6.29,,,,,,Rob Ianello (1-11),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
17,2009,MAC,3,9,0,0.25,2.0,6.0,0.0,0.25,-14.65,-4.99,,,,,,J.D. Brookhart (3-9),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
18,2008,MAC,5,7,0,0.417,3.0,5.0,0.0,0.375,-6.87,-4.95,,,,,,J.D. Brookhart (5-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
19,2007,MAC,4,8,0,0.333,3.0,5.0,0.0,0.375,-12.52,-5.27,,,,,,J.D. Brookhart (4-8),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
20,2006,MAC,5,7,0,0.417,3.0,5.0,0.0,0.375,-9.7,-6.7,,,,,,J.D. Brookhart (5-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
21,2005,MAC,7,6,0,0.538,5.0,3.0,0.0,0.625,-5.5,-4.96,,,,,,J.D. Brookhart (7-6),Motor City Bowl (L),,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
22,2004,MAC,6,5,0,0.545,6.0,2.0,0.0,0.75,-9.06,-7.16,,,,,,J.D. Brookhart (6-5),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
23,2003,MAC,7,5,0,0.583,5.0,3.0,0.0,0.625,-5.96,-8.62,,,,,,Lee Owens (7-5),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
24,2002,MAC,4,8,0,0.333,3.0,5.0,0.0,0.375,-9.42,-4.92,,,,,,Lee Owens (4-8),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
25,2001,MAC,4,7,0,0.364,4.0,4.0,0.0,0.5,-9.08,-3.62,,,,,,Lee Owens (4-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
26,2000,MAC,6,5,0,0.545,5.0,3.0,0.0,0.625,-5.38,-7.65,,,,,,Lee Owens (6-5),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
27,1999,MAC,7,4,0,0.636,5.0,3.0,0.0,0.625,-7.63,-9.63,,,,,,Lee Owens (7-4),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
28,1998,MAC,4,7,0,0.364,3.0,6.0,0.0,0.333,-13.41,-10.5,,,,,,Lee Owens (4-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
29,1997,MAC,2,9,0,0.182,2.0,7.0,0.0,0.222,-13.11,-0.29,,,,,,Lee Owens (2-9),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
30,1996,MAC,4,7,0,0.364,3.0,5.0,0.0,0.375,-16.69,-10.6,,,,,,Lee Owens (4-7),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
31,1995,MAC,2,9,0,0.182,2.0,6.0,0.0,0.25,-18.58,-4.67,,,,,,Lee Owens (2-9),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
32,1994,MAC,1,10,0,0.091,1.0,8.0,0.0,0.111,-31.17,-13.71,,,,,,Gerry Faust (1-10),,,akron,https://www.sports-reference.com/cfb/schools/akron/,2026-01-02T12:33:23
