alpha_order,school_name,year_min,year_max,total_years,overall_games,overall_wins,overall_losses,overall_ties,overall_win_loss_pct,bowl_games,bowl_games_wins,bowl_games_losses,bowl_games_ties,bowl_games_win_loss_pct,srs,sos,poll_final,conf_champ_count,notes,school_url,school_key
1,Air Force,1957,2025,69,801,435,354,12,.551,30,16,13,1,.550,1.09,-0.93,7,3,,https://www.sports-reference.com/cfb/schools/air-force/,air-force
2,Akron,1975,2025,40,460,165,292,3,.362,3,1,2,0,.333,-12.04,-6.54,0,1,,https://www.sports-reference.com/cfb/schools/akron/,akron
3,Alabama,1902,2025,122,1355,996,317,42,.751,78,46,29,3,.609,13.90,4.33,62,30,record adjusted to 967-326-41 by NCAA,https://www.sports-reference.com/cfb/schools/alabama/,alabama
4,Alameda Coast Guard,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,,https://www.sports-reference.com/cfb/schools/alameda-coast-guard/,alameda-coast-guard
5,Alcorn State,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-17.10,-9.19,0,0,,https://www.sports-reference.com/cfb/schools/alcorn-state/,alcorn-state
6,Amarillo Field,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,,https://www.sports-reference.com/cfb/schools/amarillo-field/,amarillo-field
7,Amherst,1877,1906,25,239,108,109,22,.498,0,0,0,0,,-1.08,-0.09,0,0,,https://www.sports-reference.com/cfb/schools/amherst/,amherst
8,Appalachian State,1972,2025,22,261,153,103,5,.596,8,7,1,0,.875,-1.40,-5.90,1,4,,https://www.sports-reference.com/cfb/schools/appalachian-state/,appalachian-state
9,Arizona,1931,2025,92,1007,517,467,23,.525,21,10,10,1,.500,1.44,0.71,8,6,,https://www.sports-reference.com/cfb/schools/arizona/,arizona
10,Arizona State,1931,2025,92,1015,610,387,18,.610,34,15,18,1,.456,3.54,-1.08,18,18,record adjusted to 595-392-18 by NCAA,https://www.sports-reference.com/cfb/schools/arizona-state/,arizona-state
11,Arkansas,1906,2025,120,1282,715,530,37,.572,45,18,24,3,.433,6.42,3.14,29,14,record adjusted to 716-529-37 by NCAA,https://www.sports-reference.com/cfb/schools/arkansas/,arkansas
12,Arkansas State,1974,2025,44,515,229,284,2,.447,12,5,7,0,.417,-8.86,-6.44,0,7,record adjusted to 219-284-2 by NCAA,https://www.sports-reference.com/cfb/schools/arkansas-state/,arkansas-state
13,Army,1891,2025,132,1325,730,544,51,.570,11,8,3,0,.727,3.28,-0.37,16,1,,https://www.sports-reference.com/cfb/schools/army/,army
14,Auburn,1902,2025,123,1299,782,474,43,.619,47,24,21,2,.532,8.81,4.60,40,8,record adjusted to 785-472-42 by NCAA,https://www.sports-reference.com/cfb/schools/auburn/,auburn
15,Ball State,1975,2025,51,586,280,302,4,.481,9,1,8,0,.111,-8.09,-6.97,1,6,,https://www.sports-reference.com/cfb/schools/ball-state/,ball-state
16,Bates,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-0.94,-1.28,0,0,,https://www.sports-reference.com/cfb/schools/bates/,bates
17,Baylor,1903,2025,120,1275,631,603,41,.511,28,14,14,0,.500,2.84,2.71,16,9,record adjusted to 631-603-40 by NCAA,https://www.sports-reference.com/cfb/schools/baylor/,baylor
18,Beloit,1894,1905,9,85,39,36,10,.518,0,0,0,0,,-1.30,-1.39,0,0,,https://www.sports-reference.com/cfb/schools/beloit/,beloit
19,Birmingham-Southern,1920,1924,4,36,16,17,3,.486,0,0,0,0,,-5.29,-4.68,0,0,,https://www.sports-reference.com/cfb/schools/birmingham-southern/,birmingham-southern
20,Boise State,1996,2025,30,380,289,91,0,.761,22,13,9,0,.591,6.03,-3.85,14,16,record adjusted to 290-90-0 by NCAA,https://www.sports-reference.com/cfb/schools/boise-state/,boise-state
21,Boston College,1901,2025,91,989,536,439,14,.549,29,15,14,0,.517,1.72,0.08,14,1,,https://www.sports-reference.com/cfb/schools/boston-college/,boston-college
22,Boston University,1923,1964,20,170,73,90,7,.450,0,0,0,0,,-6.91,-4.99,1,0,,https://www.sports-reference.com/cfb/schools/boston-university/,boston-university
23,Bowdoin,1896,1905,7,66,33,30,3,.523,0,0,0,0,,-2.71,-2.47,0,0,,https://www.sports-reference.com/cfb/schools/bowdoin/,bowdoin
24,Bowling Green,1962,2025,64,720,382,327,11,.538,15,5,10,0,.333,-5.40,-6.33,1,9,,https://www.sports-reference.com/cfb/schools/bowling-green-state/,bowling-green-state
25,Bradley,1949,1951,3,29,14,15,0,.483,0,0,0,0,,-12.91,-12.75,0,0,,https://www.sports-reference.com/cfb/schools/bradley/,bradley
26,Brown,1878,1981,93,858,431,392,35,.523,1,0,1,0,.000,-2.89,-3.54,0,1,,https://www.sports-reference.com/cfb/schools/brown/,brown
27,Bucknell,1888,1946,40,357,168,157,32,.515,1,1,0,0,1.000,-2.93,-2.85,0,0,,https://www.sports-reference.com/cfb/schools/bucknell/,bucknell
28,Buffalo,1962,2025,36,407,163,239,4,.406,7,4,3,0,.571,-9.74,-7.12,1,1,,https://www.sports-reference.com/cfb/schools/buffalo/,buffalo
29,Butler,1932,1933,2,15,4,10,1,.300,0,0,0,0,,-16.48,-10.26,0,0,,https://www.sports-reference.com/cfb/schools/butler/,butler
30,BYU,1922,2025,101,1108,636,446,26,.586,41,18,22,1,.451,-0.41,-2.92,20,23,,https://www.sports-reference.com/cfb/schools/brigham-young/,brigham-young
31,Cal State Fullerton,1975,1992,18,205,76,127,2,.376,1,0,1,0,.000,-12.72,-7.22,0,2,record adjusted to 79-124-2 by NCAA,https://www.sports-reference.com/cfb/schools/cal-state-fullerton/,cal-state-fullerton
32,Cal State Los Angeles,1969,1971,3,29,3,26,0,.103,0,0,0,0,,-27.59,-9.75,0,0,,https://www.sports-reference.com/cfb/schools/cal-state-los-angeles/,cal-state-los-angeles
33,California,1916,2025,110,1192,607,554,31,.522,26,12,13,1,.481,5.12,3.94,14,13,record adjusted to 604-553-31 by NCAA,https://www.sports-reference.com/cfb/schools/california/,california
34,California-Santa Barbara,1969,1971,3,32,11,21,0,.344,0,0,0,0,,-13.35,-7.22,0,0,,https://www.sports-reference.com/cfb/schools/california-santa-barbara/,california-santa-barbara
35,Camp Grant,1943,1943,1,10,2,6,2,.300,0,0,0,0,,8.98,14.38,0,0,,https://www.sports-reference.com/cfb/schools/camp-grant/,camp-grant
36,Carlisle,1896,1917,21,252,165,77,10,.675,0,0,0,0,,8.26,0.94,0,0,,https://www.sports-reference.com/cfb/schools/carlisle/,carlisle
37,Carnegie Mellon,1910,1940,20,172,84,75,13,.526,1,0,1,0,.000,4.03,1.50,1,0,,https://www.sports-reference.com/cfb/schools/carnegie-mellon/,carnegie-mellon
38,Centenary (LA),1930,1941,12,131,69,48,14,.580,1,0,0,1,.500,0.22,-1.79,0,0,,https://www.sports-reference.com/cfb/schools/centenary-la/,centenary-la
39,Central Michigan,1975,2025,51,590,312,267,11,.538,13,4,9,0,.308,-6.62,-7.63,1,7,,https://www.sports-reference.com/cfb/schools/central-michigan/,central-michigan
40,Centre,1919,1935,8,74,51,20,3,.709,3,2,1,0,.667,9.14,-0.02,0,0,,https://www.sports-reference.com/cfb/schools/centre/,centre
41,Charlotte,2015,2025,11,125,38,87,0,.304,1,0,1,0,.000,-13.57,-5.03,0,0,,https://www.sports-reference.com/cfb/schools/charlotte/,charlotte
42,Chattanooga,1909,1981,22,218,105,100,13,.511,0,0,0,0,,-5.92,-6.18,0,3,,https://www.sports-reference.com/cfb/schools/chattanooga/,chattanooga
43,Chicago,1892,1939,48,466,287,147,32,.650,0,0,0,0,,7.28,2.92,0,7,,https://www.sports-reference.com/cfb/schools/chicago/,chicago
44,Cincinnati,1954,2025,72,813,409,392,12,.510,19,8,11,0,.421,-2.03,-2.15,8,10,,https://www.sports-reference.com/cfb/schools/cincinnati/,cincinnati
45,Clemson,1902,2025,124,1311,793,474,44,.622,51,27,24,0,.529,5.86,1.80,38,24,,https://www.sports-reference.com/cfb/schools/clemson/,clemson
46,Coast Guard,1944,1945,2,17,6,10,1,.382,0,0,0,0,,-4.68,-1.10,0,0,,https://www.sports-reference.com/cfb/schools/coast-guard/,coast-guard
47,Coastal Carolina,2017,2025,9,110,64,46,0,.582,5,2,3,0,.400,-3.43,-4.75,1,1,,https://www.sports-reference.com/cfb/schools/coastal-carolina/,coastal-carolina
48,Coe,1905,1905,1,9,1,7,1,.167,0,0,0,0,,-18.57,-4.35,0,0,,https://www.sports-reference.com/cfb/schools/coe/,coe
49,Colby,1904,1904,1,7,2,4,1,.357,0,0,0,0,,-5.30,1.55,0,0,,https://www.sports-reference.com/cfb/schools/colby/,colby
50,Colgate,1905,1981,76,670,363,266,41,.572,0,0,0,0,,-0.87,-4.01,0,0,,https://www.sports-reference.com/cfb/schools/colgate/,colgate
51,Colorado,1902,2025,124,1246,682,528,35,.562,31,12,19,0,.387,3.87,1.48,20,19,,https://www.sports-reference.com/cfb/schools/colorado/,colorado
52,Colorado College,1902,1945,39,296,169,109,18,.601,0,0,0,0,,-1.27,-4.88,1,2,,https://www.sports-reference.com/cfb/schools/colorado-college/,colorado-college
53,Colorado Mines,1902,1937,36,239,98,128,13,.437,0,0,0,0,,-6.56,-4.56,0,3,,https://www.sports-reference.com/cfb/schools/colorado-mines/,colorado-mines
54,Colorado State,1902,2025,118,1177,541,605,31,.473,18,6,12,0,.333,-4.09,-2.97,3,15,record adjusted to 542-604-31 by NCAA,https://www.sports-reference.com/cfb/schools/colorado-state/,colorado-state
55,Columbia,1870,1981,84,699,282,382,35,.428,1,1,0,0,1.000,-4.55,-1.67,2,1,,https://www.sports-reference.com/cfb/schools/columbia/,columbia
56,Connecticut,1979,2025,27,314,130,182,2,.417,8,4,4,0,.500,-6.09,-2.90,0,2,,https://www.sports-reference.com/cfb/schools/connecticut/,connecticut
